label,mean_intensity_nucleoplasm,area_nucleoplasm,mean_intensity_membrane,area_membrane,ratio,filename,localization
1,28.214069994670457,5629.0,19.6043537414966,3675.0,1.4391736839021447,19838_1252_F8_1.tif,membrane
2,44.42982633279483,9904.0,27.112399643175735,4484.0,1.6387271845182447,19838_1252_F8_1.tif,membrane
4,53.12607830126078,15070.0,31.962930734423946,5746.0,1.6621153655363716,19838_1252_F8_1.tif,membrane
5,49.79285577475579,20884.0,31.77777777777778,7425.0,1.5669080488559515,19838_1252_F8_1.tif,membrane
6,42.91111625038545,12972.0,28.91215365239295,3176.0,1.4841895476310827,19838_1252_F8_1.tif,membrane
7,54.61090365944735,16068.0,38.03592472913895,5261.0,1.435771682911405,19838_1252_F8_1.tif,membrane
8,52.34300659214675,27912.0,37.743411526209094,6906.0,1.3868117500666222,19838_1252_F8_1.tif,membrane
9,60.766178102636715,26131.0,44.66876920588711,6183.0,1.3603727880334802,19838_1252_F8_1.tif,membrane
10,58.8304299811193,28071.0,41.293927747886244,6505.0,1.424675083956641,19838_1252_F8_1.tif,membrane
11,54.78251730959446,16176.0,26.763986299135542,6131.0,2.0468743593462344,19838_1252_F8_1.tif,membrane
12,60.941441680369174,18853.0,38.31342155009452,5290.0,1.5906029588270703,19838_1252_F8_1.tif,membrane
1,59.34034221503362,35241.0,40.5518357012238,7109.0,1.4633207397129695,24138_196_F7_2.tif,membrane
2,59.63360955480256,29807.0,32.71818867924528,6625.0,1.8226439776182055,24138_196_F7_2.tif,membrane
3,55.387435035157445,32710.0,33.48819573615682,6989.0,1.6539390617379923,24138_196_F7_2.tif,membrane
4,76.54395588104487,33727.0,49.817928236338275,7887.0,1.536474088563403,24138_196_F7_2.tif,membrane
5,42.12703938008899,33037.0,33.95451468796534,7387.0,1.240690369667403,24138_196_F7_2.tif,membrane
7,51.93282110209752,58307.0,28.69377851111327,10303.0,1.8098983053759767,24138_196_F7_2.tif,membrane
8,91.03551230447853,58881.0,62.340700859544725,10587.0,1.460290164359621,24138_196_F7_2.tif,membrane
10,63.53108972664305,75652.0,32.330076504746984,10849.0,1.9650769993481105,24138_196_F7_2.tif,membrane
11,33.13542515620755,7362.0,22.058095238095238,3150.0,1.5021888698250478,24138_196_F7_2.tif,membrane
12,46.018380125227225,29706.0,32.155445893549526,5674.0,1.4311224380955838,24138_196_F7_2.tif,membrane
